Country;Year;Month;SubNational;Constituency;Magnitude;Party;Turnout;Votes;Share
Australia;361903;12;new south wales;gwydir;1;free trade party;0.386851519346237;2522;0.306849986314774
Australia;361903;12;victoria;melbourne ports;1;australian labor party;0.557018756866455;7290;0.419471770524979
Australia;361903;12;south australia;boothby;1;free trade party;0.430691689252853;4802;0.45400395989418
Australia;361903;12;western australia;fremantle;1;australian labor party;0.308595150709152;3439;0.612684845924377
Australia;361903;12;new south wales;lang;1;australian labor party;0.549208164215088;3042;0.146510615944862
Australia;361903;12;new south wales;east sydney;1;protectionist party;0.387572109699249;799;0.0604844801127911
Australia;361903;12;tasmania;franklin;1;revenue tariff party;0.339032053947449;3546;0.144832745194435
Australia;361903;12;victoria;bourke;1;australian labor party;0.59405517578125;7933;0.388282507658005
Australia;361903;12;south australia;angas;1;free trade party;;;
Australia;361903;12;tasmania;bass;1;free trade party;0.421034663915634;3124;0.432926833629608
Australia;361903;12;new south wales;parramatta;1;independent protectionist;0.471324622631073;2506;0.198841542005539
Australia;361903;12;new south wales;darling;1;free trade party;0.365601271390915;2263;0.41822212934494
Australia;361903;12;new south wales;wentworth;1;free trade party;0.626203656196594;13894;0.717924892902374
Australia;361903;12;new south wales;dalley;1;independent protectionist;0.511335551738739;3036;0.177408993244171
Australia;361903;12;new south wales;cowper;1;protectionist party;0.475907385349274;4384;0.370270282030106
Australia;361903;12;new south wales;macquarie;1;free trade party;0.587976515293121;6410;0.540472149848938
Australia;361903;12;victoria;flinders;1;free trade party;0.528057992458344;5194;0.362608224153519
Australia;361903;12;new south wales;newcastle;1;free trade party;0.459711134433746;5899;0.374825268983841
Australia;361903;12;new south wales;parkes;1;independent free trade;0.586704671382904;1318;0.0624348632991314
Australia;361903;12;new south wales;west sydney;1;australian labor party;0.419164687395096;7272;0.699029147624969
Australia;361903;12;victoria;bendigo;1;free trade party;0.572669804096222;2650;0.184360653162003
Australia;361903;12;south australia;hindmarsh;1;protectionist party;0.379162222146988;3000;0.333222270011902
Australia;361903;12;new south wales;riverina;1;protectionist party;0.489291429519653;4336;0.499711871147156
Australia;361903;12;new south wales;newcastle;1;australian labor party;0.459711134433746;9839;0.625174760818481
Australia;361903;12;tasmania;darwin;1;australian labor party;0.580224692821503;4483;0.504274487495422
Australia;361903;12;queensland;maranoa;1;free trade party;0.583634734153748;2390;0.249921575188637
Australia;361903;12;new south wales;dalley;1;independent protectionist;0.511335551738739;1263;0.0738035440444946
Australia;361903;12;queensland;herbert;1;australian labor party;0.627914190292358;8965;0.577865183353424
Australia;361903;12;victoria;grampians;1;protectionist party;0.498389631509781;3285;0.310550212860107
Australia;361903;12;new south wales;lang;1;free trade party;0.549208164215088;10527;0.507007658481598
Australia;361903;12;new south wales;parkes;1;independent free trade;0.586704671382904;216;0.0102321170270443
Australia;361903;12;western australia;perth;1;australian labor party;0.228481829166412;4248;0.72752183675766
Australia;361903;12;new south wales;gwydir;1;australian labor party;0.386851519346237;4395;0.534736573696136
Australia;361903;12;queensland;brisbane;1;protectionist party;0.511569321155548;1799;0.104965284466743
Australia;361903;12;victoria;wannon;1;free trade party;0.539626896381378;5323;0.434459686279297
Australia;361903;12;queensland;kennedy;1;free trade party;0.606354355812073;3493;0.303106546401978
Australia;361903;12;queensland;herbert;1;free trade party;0.627914190292358;6549;0.422134846448898
Australia;361903;12;new south wales;cowper;1;free trade party;0.475907385349274;7456;0.629729747772217
Australia;361903;12;new south wales;hume;1;free trade party;0.541338503360748;4749;0.40035405755043
Australia;361903;12;new south wales;barrier;1;australian labor party;0.40250039100647;6217;0.819752097129822
Australia;361903;12;victoria;indi;1;protectionist party;;;
Australia;361903;12;victoria;mernda;1;independent protectionist;0.451864004135132;1776;0.181948572397232
Australia;361903;12;victoria;laanecoorie;1;free trade party;0.481056421995163;2358;0.253875970840454
Australia;361903;12;new south wales;werriwa;1;free trade party;0.467245787382126;6545;0.687427818775177
Australia;361903;12;new south wales;east sydney;1;free trade party;0.387572109699249;8103;0.613398969173431
Australia;361903;12;new south wales;east sydney;1;australian labor party;0.387572109699249;4308;0.326116591691971
Australia;361903;12;new south wales;robertson;1;independent protectionist;0.405239582061768;3212;0.364834159612656
Australia;361903;12;tasmania;denison;1;australian labor party;0.518456101417542;1064;0.127348899841309
Australia;361903;12;victoria;mernda;1;protectionist party;0.451864004135132;5178;0.530478417873383
Australia;361903;12;western australia;kalgoorlie;1;free trade party;0.388615995645523;2913;0.333562344312668
Australia;361903;12;western australia;coolgardie;1;australian labor party;;;
Australia;361903;12;new south wales;robertson;1;free trade party;0.405239582061768;5592;0.635165810585022
Australia;361903;12;new south wales;hume;1;protectionist party;0.541338503360748;7113;0.599645912647247
Australia;361903;12;victoria;wannon;1;protectionist party;0.539626896381378;2318;0.189193606376648
Australia;361903;12;victoria;corio;1;australian labor party;0.607418417930603;2709;0.177255779504776
Australia;361903;12;new south wales;south sydney;1;free trade party;0.559389293193817;9662;0.559856295585632
Australia;361903;12;new south wales;macquarie;1;protectionist party;0.587976515293121;5450;0.45952782034874
Australia;361903;12;victoria;melbourne ports;1;independent labor;0.557018756866455;443;0.0254905354231596
Australia;361903;12;new south wales;parkes;1;free trade party;0.586704671382904;15610;0.739459991455078
Australia;361903;12;victoria;wimmera;1;free trade party;0.512431859970093;3094;0.369741886854172
Australia;361903;12;victoria;flinders;1;australian labor party;0.528057992458344;2971;0.207414135336876
Australia;361903;12;queensland;capricornia;1;australian labor party;0.581899762153625;6065;0.496114522218704
Australia;361903;12;queensland;moreton;1;free trade party;0.464407533407211;5508;0.442445188760757
Australia;361903;12;queensland;capricornia;1;free trade party;0.581899762153625;6160;0.3047034740448
Australia;361903;12;victoria;northern melbourne;1;australian labor party;0.481149077415466;4897;0.296931833028793
Australia;361903;12;tasmania;darwin;1;independent;0.580224692821503;53;0.00596175482496619
Australia;361903;12;new south wales;riverina;1;free trade party;0.489291429519653;4341;0.500288128852844
Australia;361903;12;victoria;melbourne;1;protectionist party;0.585130631923676;7756;0.502494335174561
Australia;361903;12;new south wales;north sydney;1;free trade party;;;
Australia;361903;12;victoria;gippsland;1;protectionist party;;;
Australia;361903;12;victoria;kooyong;1;free trade party;0.588912308216095;12045;0.527988433837891
Australia;361903;12;victoria;melbourne ports;1;protectionist party;0.557018756866455;9646;0.555037677288055
Australia;361903;12;victoria;corangamite;1;free trade party;0.554572522640228;4600;0.351466983556747
